match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1422132,Mumbai Indians,Akash Madhwal,4.0,0,20,3,5.0,8,1,0,1,0,Mumbai Indians vs Rajasthan Royals
1422132,Mumbai Indians,G Coetzee,2.3,0,36,0,14.4,4,5,2,0,0,Mumbai Indians vs Rajasthan Royals
1422132,Mumbai Indians,JJ Bumrah,4.0,0,26,0,6.5,15,3,0,5,0,Mumbai Indians vs Rajasthan Royals
1422132,Mumbai Indians,KT Maphaka,2.0,0,23,1,11.5,5,5,0,0,0,Mumbai Indians vs Rajasthan Royals
1422132,Mumbai Indians,PP Chawla,3.0,0,18,0,6.0,6,0,1,0,0,Mumbai Indians vs Rajasthan Royals
1422132,Rajasthan Royals,Avesh Khan,4.0,0,30,1,7.5,9,2,1,1,0,Rajasthan Royals vs Rajasthan Royals
1422132,Rajasthan Royals,N Burger,4.0,0,32,2,8.0,14,5,1,1,0,Rajasthan Royals vs Rajasthan Royals
1422132,Rajasthan Royals,R Ashwin,4.0,0,27,0,6.75,6,1,0,1,0,Rajasthan Royals vs Rajasthan Royals
1422132,Rajasthan Royals,TA Boult,4.0,0,22,3,5.5,13,1,1,1,0,Rajasthan Royals vs Rajasthan Royals
1422132,Rajasthan Royals,YS Chahal,4.0,0,11,3,2.75,16,1,0,0,0,Rajasthan Royals vs Rajasthan Royals
1422133,Lucknow Super Giants,KH Pandya,1.0,0,10,0,10.0,0,1,0,0,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,M Siddharth,3.0,0,21,1,7.0,7,3,0,0,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,MP Stoinis,1.0,0,9,1,9.0,3,0,0,1,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,MP Yadav,4.0,0,14,3,3.5,16,2,0,0,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,Naveen-ul-Haq,3.4,0,25,2,6.82,13,2,2,1,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,Ravi Bishnoi,3.0,0,33,0,11.0,6,1,3,2,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Lucknow Super Giants,Yash Thakur,4.0,0,38,1,9.5,6,2,3,0,0,Lucknow Super Giants vs Royal Challengers Bengaluru
1422133,Royal Challengers Bengaluru,C Green,2.0,0,25,0,12.5,3,2,2,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422133,Royal Challengers Bengaluru,GJ Maxwell,4.0,0,23,2,5.75,12,0,2,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422133,Royal Challengers Bengaluru,Mayank Dagar,2.0,0,23,0,11.5,2,1,1,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422133,Royal Challengers Bengaluru,Mohammed Siraj,4.0,0,47,1,11.75,11,2,5,3,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
