match_id,inning,batter,runs,balls,fours,sixes,batting_position,out/not out,SR,match
1426263,Mumbai Indians,SA Yadav,52,19,5,4,3,out,273.68,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,Tilak Varma,16,10,3,0,5,not out,160.0,Mumbai Indians vs Royal Challengers Bengaluru
1426264,Lucknow Super Giants,A Badoni,55,35,5,1,7,not out,157.14,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,Arshad Khan,20,16,2,0,9,not out,125.0,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,D Padikkal,3,6,0,0,3,out,50.0,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,DJ Hooda,10,13,0,0,6,out,76.92,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,KH Pandya,3,4,0,0,8,out,75.0,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,KL Rahul,39,22,5,1,2,out,177.27,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,MP Stoinis,8,10,1,0,4,out,80.0,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,N Pooran,0,1,0,0,5,out,0.0,Lucknow Super Giants vs Delhi Capitals
1426264,Lucknow Super Giants,Q de Kock,19,13,4,0,1,out,146.15,Lucknow Super Giants vs Delhi Capitals
1426264,Delhi Capitals,DA Warner,8,9,1,0,2,out,88.89,Delhi Capitals vs Lucknow Super Giants
1426264,Delhi Capitals,J Fraser-McGurk,55,35,2,5,3,out,157.14,Delhi Capitals vs Lucknow Super Giants
1426264,Delhi Capitals,PP Shaw,32,22,6,0,1,out,145.45,Delhi Capitals vs Lucknow Super Giants
1426264,Delhi Capitals,RR Pant,41,24,4,2,4,out,170.83,Delhi Capitals vs Lucknow Super Giants
1426264,Delhi Capitals,SD Hope,11,10,1,0,6,not out,110.0,Delhi Capitals vs Lucknow Super Giants
1426264,Delhi Capitals,T Stubbs,15,9,0,1,5,not out,166.67,Delhi Capitals vs Lucknow Super Giants
1426265,Punjab Kings,Ashutosh Sharma,31,15,1,3,8,out,206.67,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,Atharva Taide,15,12,2,0,1,out,125.0,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,Harpreet Brar,3,3,0,0,9,not out,100.0,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,JM Bairstow,15,19,1,0,2,out,78.95,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,JM Sharma,29,24,1,2,5,out,120.83,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,LS Livingstone,21,14,2,1,7,out,150.0,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,P Simran Singh,10,14,1,0,3,out,71.43,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,SM Curran,6,10,0,0,4,out,60.0,Punjab Kings vs Rajasthan Royals
1426265,Punjab Kings,Shashank Singh,9,9,1,0,6,out,100.0,Punjab Kings vs Rajasthan Royals
1426265,Rajasthan Royals,Dhruv Jurel,6,11,0,0,5,out,54.55,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,KA Maharaj,1,2,0,0,8,out,50.0,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,R Parag,23,18,1,1,4,out,127.78,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,R Powell,11,5,2,0,7,out,220.0,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,SO Hetmyer,27,10,1,3,6,not out,270.0,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,SV Samson,18,14,1,1,3,out,128.57,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,Tanush Kotian,24,31,3,0,2,out,77.42,Rajasthan Royals vs Punjab Kings
1426265,Rajasthan Royals,YBK Jaiswal,39,28,4,0,1,out,139.29,Rajasthan Royals vs Punjab Kings
1426266,Lucknow Super Giants,A Badoni,29,27,2,1,4,out,107.41,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,Arshad Khan (2),5,4,1,0,8,out,125.0,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,DJ Hooda,8,10,1,0,3,out,80.0,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,KH Pandya,7,8,0,0,7,not out,87.5,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,KL Rahul,39,26,3,2,2,out,150.0,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,MP Stoinis,10,5,2,0,5,out,200.0,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,N Pooran,45,32,2,4,6,out,140.62,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Lucknow Super Giants,Q de Kock,10,8,2,0,1,out,125.0,Lucknow Super Giants vs Kolkata Knight Riders
1426266,Kolkata Knight Riders,A Raghuvanshi,7,6,0,1,3,out,116.67,Kolkata Knight Riders vs Lucknow Super Giants
1426266,Kolkata Knight Riders,PD Salt,88,44,14,3,1,not out,200.0,Kolkata Knight Riders vs Lucknow Super Giants
1426266,Kolkata Knight Riders,SP Narine,6,6,1,0,2,out,100.0,Kolkata Knight Riders vs Lucknow Super Giants
1426266,Kolkata Knight Riders,SS Iyer,38,38,6,0,4,not out,100.0,Kolkata Knight Riders vs Lucknow Super Giants
1426267,Chennai Super Kings,AM Rahane,5,8,1,0,1,out,62.5,Chennai Super Kings vs Mumbai Indians
1426267,Chennai Super Kings,DJ Mitchell,17,14,1,0,5,out,121.43,Chennai Super Kings vs Mumbai Indians
1426267,Chennai Super Kings,MS Dhoni,20,4,0,3,6,not out,500.0,Chennai Super Kings vs Mumbai Indians
1426267,Chennai Super Kings,R Ravindra,21,16,2,1,2,out,131.25,Chennai Super Kings vs Mumbai Indians
1426267,Chennai Super Kings,RD Gaikwad,69,40,5,5,3,out,172.5,Chennai Super Kings vs Mumbai Indians
1426267,Chennai Super Kings,S Dube,66,38,10,2,4,not out,173.68,Chennai Super Kings vs Mumbai Indians
1426267,Mumbai Indians,HH Pandya,2,6,0,0,5,out,33.33,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,Ishan Kishan,23,15,3,1,2,out,153.33,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,Mohammad Nabi,4,7,0,0,8,not out,57.14,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,R Shepherd,1,2,0,0,7,out,50.0,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,RG Sharma,105,63,11,5,1,not out,166.67,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,SA Yadav,0,2,0,0,3,out,0.0,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,TH David,13,5,0,2,6,out,260.0,Mumbai Indians vs Chennai Super Kings
1426267,Mumbai Indians,Tilak Varma,31,20,5,0,4,out,155.0,Mumbai Indians vs Chennai Super Kings
1426268,Sunrisers Hyderabad,AK Markram,32,16,2,2,4,not out,200.0,Sunrisers Hyderabad vs Royal Challengers Bengaluru
1426268,Sunrisers Hyderabad,Abdul Samad,37,10,4,3,5,not out,370.0,Sunrisers Hyderabad vs Royal Challengers Bengaluru
1426268,Sunrisers Hyderabad,Abhishek Sharma,34,22,2,2,1,out,154.55,Sunrisers Hyderabad vs Royal Challengers Bengaluru
1426268,Sunrisers Hyderabad,H Klaasen,67,31,2,7,3,out,216.13,Sunrisers Hyderabad vs Royal Challengers Bengaluru
1426268,Sunrisers Hyderabad,TM Head,102,41,9,8,2,out,248.78,Sunrisers Hyderabad vs Royal Challengers Bengaluru
1426268,Royal Challengers Bengaluru,Anuj Rawat,25,14,5,0,8,not out,178.57,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,F du Plessis,62,28,7,4,2,out,221.43,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,KD Karthik,83,35,5,7,5,out,237.14,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,MK Lomror,19,11,0,2,7,out,172.73,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,RM Patidar,9,5,0,1,4,out,180.0,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,Saurav Chauhan,0,1,0,0,6,out,0.0,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,V Kohli,42,20,6,2,1,out,210.0,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,Vijaykumar Vyshak,1,2,0,0,9,not out,50.0,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426268,Royal Challengers Bengaluru,WG Jacks,7,4,1,0,3,out,175.0,Royal Challengers Bengaluru vs Sunrisers Hyderabad
1426269,Kolkata Knight Riders,A Raghuvanshi,30,18,5,0,3,out,166.67,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,AD Russell,13,10,2,0,5,out,130.0,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,PD Salt,10,13,1,0,1,out,76.92,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,RK Singh,20,9,1,2,6,not out,222.22,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,Ramandeep Singh,1,1,0,0,8,not out,100.0,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,SP Narine,109,56,13,6,2,out,194.64,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,SS Iyer,11,7,1,1,4,out,157.14,Kolkata Knight Riders vs Rajasthan Royals
1426269,Kolkata Knight Riders,VR Iyer,8,6,1,0,7,out,133.33,Kolkata Knight Riders vs Rajasthan Royals
1426269,Rajasthan Royals,Dhruv Jurel,2,4,0,0,5,out,50.0,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,JC Buttler,107,59,9,6,2,not out,181.36,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,R Ashwin,8,11,1,0,6,out,72.73,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,R Parag,34,14,4,2,4,out,242.86,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,R Powell,26,13,1,3,8,out,200.0,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,SO Hetmyer,0,1,0,0,7,out,0.0,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,SV Samson,12,8,2,0,3,out,150.0,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,TA Boult,0,1,0,0,9,out,0.0,Rajasthan Royals vs Kolkata Knight Riders
1426269,Rajasthan Royals,YBK Jaiswal,19,9,3,1,1,out,211.11,Rajasthan Royals vs Kolkata Knight Riders
1426270,Gujarat Titans,A Manohar,8,14,1,0,5,out,57.14,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,B Sai Sudharsan,12,8,2,0,3,out,150.0,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,DA Miller,2,6,0,0,4,out,33.33,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,M Shahrukh Khan,0,1,0,0,7,not out,0.0,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,MM Sharma,2,14,0,0,9,out,14.29,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,Noor Ahmad,1,7,0,0,10,out,14.29,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,R Tewatia,10,14,1,0,6,out,71.43,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,Rashid Khan,31,24,2,1,8,out,129.17,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,SH Johnson,1,1,0,0,11,not out,100.0,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,Shubman Gill,8,6,2,0,2,out,133.33,Gujarat Titans vs Delhi Capitals
1426270,Gujarat Titans,WP Saha,2,10,0,0,1,out,20.0,Gujarat Titans vs Delhi Capitals
1426270,Delhi Capitals,Abishek Porel,15,7,2,1,4,out,214.29,Delhi Capitals vs Gujarat Titans
1426270,Delhi Capitals,J Fraser-McGurk,20,10,2,2,2,out,200.0,Delhi Capitals vs Gujarat Titans
1426270,Delhi Capitals,PP Shaw,7,6,1,0,1,out,116.67,Delhi Capitals vs Gujarat Titans
1426270,Delhi Capitals,RR Pant,16,11,1,1,5,not out,145.45,Delhi Capitals vs Gujarat Titans
1426270,Delhi Capitals,SD Hope,19,10,1,2,3,out,190.0,Delhi Capitals vs Gujarat Titans
1426270,Delhi Capitals,Sumit Kumar,9,9,2,0,6,not out,100.0,Delhi Capitals vs Gujarat Titans
1426271,Mumbai Indians,HH Pandya,10,6,0,1,5,out,166.67,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,Ishan Kishan,8,8,1,0,1,out,100.0,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,Mohammad Nabi,0,1,0,0,8,out,0.0,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,R Shepherd,1,2,0,0,7,out,50.0,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,RG Sharma,36,25,2,3,2,out,144.0,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,SA Yadav,78,53,7,3,3,out,147.17,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,TH David,14,7,2,1,6,out,200.0,Mumbai Indians vs Punjab Kings
1426271,Mumbai Indians,Tilak Varma,34,18,2,2,4,not out,188.89,Mumbai Indians vs Punjab Kings
1426271,Punjab Kings,Ashutosh Sharma,55,26,2,6,8,out,211.54,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,HV Patel,1,4,0,0,10,not out,25.0,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,Harpreet Brar,21,20,2,1,9,out,105.0,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,Harpreet Singh,13,15,2,0,6,out,86.67,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,JM Sharma,9,9,1,0,7,out,100.0,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,K Rabada,8,3,0,1,11,out,266.67,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,LS Livingstone,1,2,0,0,4,out,50.0,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,P Simran Singh,0,1,0,0,2,out,0.0,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,RR Rossouw,1,3,0,0,3,out,33.33,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,SM Curran,6,7,1,0,1,out,85.71,Punjab Kings vs Mumbai Indians
1426271,Punjab Kings,Shashank Singh,41,25,2,3,5,out,164.0,Punjab Kings vs Mumbai Indians
1426272,Chennai Super Kings,AM Rahane,36,24,5,1,1,out,150.0,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,MM Ali,30,20,0,3,7,out,150.0,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,MS Dhoni,28,9,3,2,8,not out,311.11,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,R Ravindra,0,1,0,0,2,out,0.0,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,RA Jadeja,57,40,5,1,4,not out,142.5,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,RD Gaikwad,17,13,1,0,3,out,130.77,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,S Dube,3,8,0,0,5,out,37.5,Chennai Super Kings vs Lucknow Super Giants
1426272,Chennai Super Kings,Sameer Rizvi,1,5,0,0,6,out,20.0,Chennai Super Kings vs Lucknow Super Giants
1426272,Lucknow Super Giants,KL Rahul,82,53,9,3,2,out,154.72,Lucknow Super Giants vs Chennai Super Kings
1426272,Lucknow Super Giants,MP Stoinis,8,7,1,0,4,not out,114.29,Lucknow Super Giants vs Chennai Super Kings
1426272,Lucknow Super Giants,N Pooran,23,11,3,1,3,not out,209.09,Lucknow Super Giants vs Chennai Super Kings
1426272,Lucknow Super Giants,Q de Kock,54,43,5,1,1,out,125.58,Lucknow Super Giants vs Chennai Super Kings
1426273,Sunrisers Hyderabad,AK Markram,1,3,0,0,3,out,33.33,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,Abdul Samad,13,8,1,1,7,out,162.5,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,Abhishek Sharma,46,12,2,6,2,out,383.33,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,H Klaasen,15,8,0,2,4,out,187.5,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,Nithish Kumar Reddy,37,27,2,2,6,out,137.04,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,PJ Cummins,1,1,0,0,8,out,100.0,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,Shahbaz Ahmed,59,29,2,5,5,not out,203.45,Sunrisers Hyderabad vs Delhi Capitals
1426273,Sunrisers Hyderabad,TM Head,89,32,11,6,1,out,278.12,Sunrisers Hyderabad vs Delhi Capitals
1426273,Delhi Capitals,A Nortje,0,2,0,0,9,out,0.0,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,AR Patel,6,8,0,0,8,out,75.0,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,Abishek Porel,42,22,7,1,4,not out,190.91,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,DA Warner,1,3,0,0,3,out,33.33,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,J Fraser-McGurk,65,18,5,7,2,out,361.11,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,Kuldeep Yadav,0,1,0,0,10,out,0.0,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,Lalit Yadav,7,8,1,0,7,out,87.5,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,Mukesh Kumar,0,2,0,0,11,not out,0.0,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,PP Shaw,16,5,4,0,1,out,320.0,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,RR Pant,44,35,5,1,6,out,125.71,Delhi Capitals vs Sunrisers Hyderabad
1426273,Delhi Capitals,T Stubbs,10,11,0,0,5,out,90.91,Delhi Capitals vs Sunrisers Hyderabad
1426274,Kolkata Knight Riders,A Raghuvanshi,3,4,0,0,3,out,75.0,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,AD Russell,27,19,4,0,7,not out,142.11,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,PD Salt,48,14,7,3,1,out,342.86,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,RK Singh,24,16,2,1,6,out,150.0,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,Ramandeep Singh,24,9,2,2,8,not out,266.67,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,SP Narine,10,15,2,0,2,out,66.67,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,SS Iyer,50,36,7,1,5,out,138.89,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Kolkata Knight Riders,VR Iyer,16,8,3,0,4,out,200.0,Kolkata Knight Riders vs Royal Challengers Bengaluru
1426274,Royal Challengers Bengaluru,C Green,6,4,0,1,5,out,150.0,Royal Challengers Bengaluru vs Kolkata Knight Riders
1426274,Royal Challengers Bengaluru,F du Plessis,7,7,1,0,2,out,100.0,Royal Challengers Bengaluru vs Kolkata Knight Riders
